RecordID,Address,Property Name,Ownership Type
085044551,"7025 Stirling Road, Davie, FL 33314-8000, USA",Palm Ranch,APT
085662322,"710 Northeast 1st Avenue, Miami, FL 33132-1808, USA",MIAMI WORLD TOWER PHASE I BLOCK E,COA
086992984,"7293 North Scottsdale Road, Scottsdale, AZ 85253-3631, USA",Artesia,COA
087398543,"7350 Northwest 4th Street, Plantation, FL 33317-2203, USA",Polo Glen,APT
087627349,"The One At University City,Grove Estates Condominium, 740 Southwest 109th Avenue, Miami, FL 33174-1340, USA","The One At University City,Grove Estates Condominium",APT
088136238,"7500 Branford Place, Sugar Land, TX 77479-3730, USA",Telfair Lofts,APT
088632153,"7609 Northwest 42nd Place, Sunrise, FL 33351-6201, USA",Sun Pointe Springs Apartments,APT
088645975,"761 Trinity Hills Drive, Belterra, TX 78737-4770, USA",Belterra Springs,APT
088823482,"7650 West 8th Avenue, Hialeah, FL 33014-4009, USA",Hoffman Gardens,APT
089319648,"7788 Southwest 90th Street, Kendall, FL 33156-7519, USA",Imperial At Kendall Apartments,APT
089406700,"7800 North Sam Houston Parkway East, Humble, TX 77396-4585, USA",Terraces at Fall Creek,APT
090064194,"798 Crandon Boulevard, Florida 33149-2513, USA",Le Phare Condominiums,COA
090399501,"800 Morningside Drive, Fullerton, CA 92835-3597, USA",Morningside Retirement Living,COA
090424917,"8000 Cook Road, Houston, TX 77072-3975, USA",Tierra del Sol Apartments,APT
091018017,"808 North Franklin Street, Tampa, FL 33602-3859, USA",Element,APT
091709427,"8175 Arville Street, Las Vegas, NV 89139-7111, USA",LAS VEGAS MOTORCOACH RESORT OWNERS ASSOCIATION,HOA
091863777,"820 Grant Street, West Palm Beach, FL 33407-6216, USA",Paul Laurence Dunbar Senior Complex,APT
091885308,"RO-LEN LAKE GARDENS P CORPORATION, 820 Southwest 11th Avenue, Hallandale Beach, FL 33009-6784, USA",RO-LEN LAKE GARDENS P CORPORATION,HOA
092529684,"8311 East VÃ­a de Ventura, Scottsdale, AZ 85258, USA",San Antigua In McCormick Ranch,APT
092602568,"WHITE TANK FOOTHILLS COMMUNITY ASSOCIATION, 8325 186th Avenue, Waddell, AZ 85355-9361, USA",WHITE TANK FOOTHILLS COMMUNITY ASSOCIATION,HOA
092807644,"838 Adams Street, West Palm Beach, FL 33407-6907, USA",Silver Palm Place,APT
092936510,"8400 Northwest 27th Avenue, Florida 33147-4167, USA",Northside Vistas,APT
093550690,"8539 Gate Parkway West, Jacksonville, FL 32216-1002, USA",Villa Medici,COA
093642063,"HACIENDA LAKES COMMUNITY DEVELOPMENT DISTRICT, 8567 Maggiore Court, Naples, FL 34114-2600, USA",HACIENDA LAKES COMMUNITY DEVELOPMENT DISTRICT,HOA
094959052,"8940 Northwest 8th Street, Florida 33172-3405, USA",The Birchwoods,APT
095007641,"8960 Southwest 122nd Avenue, West End, FL 33186-2048, USA",Waterford Point,APT
095009157,"8961 Southwest 142nd Avenue, West End, FL 33186-1259, USA",Cortland Kings Meadow,APT
095026495,"PIN-GRO-VIL, INC, 8971 Lawrence Road, Boynton Beach, FL 33436-2330, USA","PIN-GRO-VIL, INC.",COA
095030729,"CHAMPAGNE VILLAGE PROPERTY, 8975 Lawrence Welk Drive, Escondido, CA 92026-6408, USA",CHAMPAGNE VILLAGE PROPERTY,COA
095315244,"90 Southwest 8th Street, Miami, FL 33130-3022, USA",Brickell Gateway Tower,APT
095373323,"9000 Southwest 97th Avenue, Florida 33176-1965, USA",Cherry Grove Village Apartments,APT
095484107,"9016 Alister Boulevard East, Palm Beach Gardens, FL 33418-8102, USA",Gables Montecito,APT
095743423,"9052 Southwest 142nd Avenue, West End, FL 33186-1140, USA",Waterford Landing,APT
096497579,"9175 Southwest 147th Avenue, West End, FL 33196-1477, USA",Tennis Villas Apartments,APT
096902895,"9246 Headwaters Avenue, Florida 33578-5057, USA",Cortland Riverview,APT
096985514,"9265 West Russell Road, Rhodes Ranch, NV 89148-1359, USA",The Gramercy Residences,APT
097449256,"938 Kingwood Drive, Houston, TX 77339-4445, USA",Reserve at Kingwood,APT
098225142,"9599 West Charleston Boulevard, Las Vegas, NV 89117-6654, USA",The Layne at Peccole Ranch,APT
098290464,"9601 Southwest 142nd Avenue, West End, FL 33186-7327, USA",Palmetto Place Apartments,APT
098374625,"9623 Cypress Park Way, Boynton Beach, FL 33472-1285, USA",Cypress Park Development,APT
099162745,"990 East Venice Avenue, Venice, FL 34285, USA","Arcadia at Venice Avenue,Abrazo at Bella Terra",APT
099170380,"990 Warehouse Road, Orlando, FL 32803-3513, USA",Audubon Park,APT
099289797,"9940 Estero Oaks Drive, Florida 33967-5210, USA",Estero Oaks Apartments,APT
101173853,"14775 Dunbar Drive, Miami, FL 33176-7490, USA",Royal Pointe Apartment Homes,APT
101904913,"1910 Papaya Lane, Rural Estates, FL 34120-5760, USA",Adela at Orange Blossom,APT
102297968,"2121 West Butler Drive, Phoenix, AZ 85021-4292, USA",2121,APT
102314559,"21300 South Branch Boulevard, Estero, FL 33928-9780, USA",ESTERO,HOA
102697062,"2405 Herrons Nest Place Northwest, Concord, NC 28027-3774, USA",The Residences at Christenbury,APT
104919937,"5100 West Baybridge Boulevard, Estero, FL 33928, USA",The Island at West Bay Club,COA
105367295,"600 Center Point Road, San Marcos, TX 78666, USA",Village at Centerpoint Station,HOA
105639810,"6500 South 35th Avenue, Phoenix, AZ 85041-5056, USA",Legacy at Laveen Village,HOA
106558225,"904 North Lake Park Boulevard, Carolina Beach, NC 28428-1140, USA",Proximity Carolina Beach,APT
107060524,"AZTEC RV RESORT, LAND CONDO, 242 North Cortez Drive, Margate, FL 33068, USA","AZTEC RV RESORT, LAND CONDO",COA
107294117,"LAKE YALE ESTATES, 11643 Martell Court, Leesburg, FL 34788-8103, USA",LAKE YALE ESTATES,COA
107294496,"NAPLES MOTORCOACH RESORT HOMEOWNERS ASSOCIATION, INC, 13296 Tamiami Trail East, Naples, FL 34114, USA","NAPLES MOTORCOACH RESORT HOMEOWNERS ASSOCIATION, INC.",HOA
107295330,"VERDANA VILLAGE MASTER ASSOCIATION INC, 19057 Gentry Place, Estero, FL 33928-2572, USA",VERDANA VILLAGE MASTER ASSOCIATION INC,HOA
107297586,"CYPRESS TRAIL HOMEOWNERS ASSOC, 5050 Cypress Trail Resort Circle, Fort Myers, FL 33905, USA",CYPRESS TRAIL HOMEOWNERS ASSOC,HOA
107299321,"HERE AND THERE PALM SHORES RV RESORT, Bluebird Circle, Florida 34788, USA",HERE AND THERE PALM SHORES RV RESORT,HOA
107299361,"COMMUNITY ASSN, Hamilton Mill Parkway, Georgia 30019, USA",HAMILTON MILL COMMUNITY ASSN,HOA
